,기준뉴스문장,임계치문장,코사인유사도,클러스터갯수
6300,지난해 수출 12월에 가장 빛났다… 514억 달러로 역대 6번째,12월 수출 514억 달러 사상 최고치…반도체 30%↑,0.7001766603749219,45
6366,12월 수출 514억 달러 사상 최고치…반도체 30%↑,지난해 수출 12월에 가장 빛났다… 514억 달러로 역대 6번째,0.7001766603749219,153
959,현충원 참배 마친 김종인 비대위원장,李·朴 사면 건의에 김종인 지금 처음 듣는 얘기,0.7001758586009009,349
1077,李·朴 사면 건의에 김종인 지금 처음 듣는 얘기,현충원 참배 마친 김종인 비대위원장,0.7001758586009009,267
941,북한 김정은 집권 이후 첫 친필 서한…인민 거듭 강조,김정은 신년 첫날 금수산태양궁전 참배…올해 첫 공개활동종합,0.700175421541379,102
6120,신년사은성수 금융위원장 가계부채 선진화·코로나19 금융지원 정상화,신년사박병석 의장 당동벌이 떨치고 화이부동 자세를,0.7001752784225787,13
1615,신년사박병석 의장 당동벌이 떨치고 화이부동 자세를,신년사은성수 금융위원장 가계부채 선진화·코로나19 금융지원 정상화,0.7001752784225787,51
2280,분향하는 문재인 대통령,문 대통령 국민 일상 회복 위해 함께 걷겠다,0.7001751425207574,211
300,문 대통령 국민 일상 회복 위해 함께 걷겠다,분향하는 문재인 대통령,0.7001751425207574,207
1671,사면론 내부논쟁 이어지는 與…이낙연 최고위원 설득나설듯종합,청와대 이낙연 전 대통령 사면 언급에 건의 이뤄져야 논의,0.7001741658887275,233
620,청와대 이낙연 전 대통령 사면 언급에 건의 이뤄져야 논의,사면론 내부논쟁 이어지는 與…이낙연 최고위원 설득나설듯종합,0.7001741658887275,349
7195,미국서 코로나백신 대신 항체치료제 투약 사고,인하대 화재 고속도로에선 다중 추돌…새해 첫날 사건 사고,0.7001741277211746,20
3225,인하대 화재 고속도로에선 다중 추돌…새해 첫날 사건 사고,미국서 코로나백신 대신 항체치료제 투약 사고,0.7001741277211746,57
1796,대전 중구청 황운하 방역 수칙 위반 아냐…입장 시간 달라,이번엔 황운하 ‘5인 이상 모임금지’인데 6명 모여 회식,0.7001719706738095,26
2083,이번엔 황운하 ‘5인 이상 모임금지’인데 6명 모여 회식,대전 중구청 황운하 방역 수칙 위반 아냐…입장 시간 달라,0.7001719706738095,50
4617,폭파 지령 받았다 난동부린 30대 구속,TF초점 쉴 틈 없다 2021년 4대 그룹 총수 앞에 놓인 과제는,0.7001698170416278,36
4954,폭파 지령 받았다…청주서 흉기·방화 난동 30대 男 구속,TF초점 쉴 틈 없다 2021년 4대 그룹 총수 앞에 놓인 과제는,0.7001698170416278,36
7135,TF초점 쉴 틈 없다 2021년 4대 그룹 총수 앞에 놓인 과제는,폭파 지령 받았다…청주서 흉기·방화 난동 30대 男 구속,0.7001698170416278,14
3131,인도 아스트라제네카 백신사용 첫 승인,베트남 총리 동나이 지역 산업단지 3개 추가 개발 최종 승인 KVINA,0.7001673656578508,15
2625,안철수 24.1% 서울시장 선호도 선두…박영선 15.3% 오세훈 9.5%,차기 대선 주자 이재명 앞섰지만… 이낙연·윤석열과 ‘3강 구도’,0.700166779254084,84
75,차기 대선 주자 이재명 앞섰지만… 이낙연·윤석열과 ‘3강 구도’,안철수 24.1% 서울시장 선호도 선두…박영선 15.3% 오세훈 9.5%,0.700166779254084,81
4830,경기도 4급 이상 장기교육 26명... 생활치료센터 배치,경기도 박물관·의료원 등 카페·식당 운영 임차인에 임대료 감면,0.7001660498681018,22
6025,美 증시도 사상 최고치로 마감…“올해 전세계 5.2% 성장”,알짜기업 성장 지역브랜드 이유있네,0.7001656945915656,42
7981,알짜기업 성장 지역브랜드 이유있네,美 증시도 사상 최고치로 마감…“올해 전세계 5.2% 성장”,0.7001656945915656,16
2703,조율 안된 사면론 꺼냈다가 후폭풍…野 애초 진정성 없어,김종인 두 전직 대통령 사면 요청...처음 듣는 얘기,0.7001655637723897,75
1039,전문文대통령 “신축년 새해…모두 코로나로부터 자유로워질 때까지”,2021년 신축년 새해 첫 아기 비대면 축하,0.7001653375199478,60
2497,文 대통령 한반도 ‘초계비행’…“강한 안보 없이 평화 없어”,文대통령 공군 피스아이 첫 탑승…한반도 안보점검,0.700164907882528,46
5258,새해에도 이어지는 포항·구미 연쇄감염 … 경북 곳곳 24명 신규 확진,영국발 변이 감염 4명 추가 총 9명 남아공발도 첫 확인종합,0.7001645988532943,345
